surveyID,date,Lat,Lat_abs,Lat_abs_scale,hemi,Genus_sp,plantFamily,Biome,growthForm,growthForm_simp,sizeDiameterMean,sizeDiameterMeanLog,sizeDiameterMeanLogScale,plantMean,plantMeanProp,plantMeanPropLogit,plantGini,plantGiniAdj,plantGiniAdjLogit,propPlantsHerb50,focalPlantCoverMean
Abdala_Site 4_Gossypium_hirsutum_Survey 1,7/18/19,21.305197,21.305197,-1.08702398,N,Gossypium_hirsutum,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB,Woody,50.61538462,3.924255574,0.506164781,5.365384615,0.053653846,-2.870055259,0.550354909,0.550354909,0.202104774,0.134615385,42.6
Abdala_Site 5_Gossypium_hirsutum_Survey 1,7/18/19,21.304534,21.304534,-1.087069312,N,Gossypium_hirsutum,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB,Woody,55.88679245,4.023328081,0.590834044,7.254716981,0.07254717,-2.548204968,0.419525858,0.419525858,-0.324720093,0.245283019,43.34482759
Abdala_Site 6_Ruellia_nudiflora_Survey 1,9/7/19,20.51217,20.51217,-1.141246605,N,Ruellia_nudiflora,Acanthaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,28.15906306,3.337869259,0.005027804,7.7359375,0.077359375,-2.478778031,0.339328812,0.339328812,-0.666286685,0.015625,16.93333333
Abdala_Site 6_Waltheria_indica_Survey 1,9/7/19,20.855897,20.855897,-1.11774453,N,Waltheria_indica,Malvaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,42.86666667,3.758094523,0.364160364,7.158333333,0.071583333,-2.562618354,0.3981571,0.3981571,-0.413149796,0.266666667,30.63333333
Abdala_Site 7_Ruellia_nudiflora_Survey 1,11/7/19,20.508779,20.508779,-1.141478462,N,Ruellia_nudiflora,Acanthaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,21.91743189,3.087282297,-0.209128614,5.966666667,0.059666667,-2.757460905,0.635451188,0.635451188,0.555674823,0.1,12.5
Abdala_Site 8_Ruellia_nudiflora_Survey 1,11/7/19,20.464794,20.464794,-1.144485903,N,Ruellia_nudiflora,Acanthaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,25.32328056,3.231724153,-0.085685837,5.758333333,0.057583333,-2.795214324,0.485638598,0.485638598,-0.057461414,0.166666667,17.06666667
Abdala_Site 9_Solanum_donianum_Survey 1,7/16/19,21.342672,21.342672,-1.084461655,N,Solanum_donianum,Solanaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Woody,52.51666667,3.96113058,0.537678868,3.35,0.0335,-3.36213586,0.368327852,0.368327852,-0.539397062,0.233333333,21.66666667
Allen_Site 1_Hebe_salicifolia_Survey 1,10/28/20,-43.462697,43.462697,0.427978438,S,Hebe_salicifolia,Plantaginaceae,"Temperate Grasslands, Savannas & Shrublands",SHRUB,Woody,152.4333333,5.026727342,1.448358274,0.816666667,0.008166667,-4.799494254,0.617018333,0.617018333,0.476911614,0.116666667,72.46666667
Allen_Site 1_Phormium_tenax_Survey 1,10/20/20,-43.462697,43.462697,0.427978438,S,Phormium_tenax,Asphodelaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,126.9666667,4.843924585,1.292131535,1.008333333,0.010083333,-4.586736869,0.785404118,0.785404118,1.297441746,0.033333333,19.5
Allen_Site 1_Taraxacum_officinale_Survey 1,4/10/20,-43.56693,43.56693,0.435105291,S,Taraxacum_officinale,Asteraceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,12.39361702,2.517181584,-0.696347605,0.292553191,0.002925532,-5.831349144,0.85454545454545106,0.85454545454545106,1.77070606,0.031914894,13.34042553
Allen_Site 3_Plantago_lanceolata_Survey 1,10/13/20,-43.456074,43.456074,0.427525595,S,Plantago_lanceolata,Plantaginaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,9.616666667,2.263497704,-0.913150708,0.683333333,0.006833333,-4.979085894,0.81438611,0.81438611,1.478765934,0.016666667,10.71666667
Allen_Site 4_Senecio_elegans_Survey 1,10/11/20,-43.280976,43.280976,0.415553401,S,Senecio_elegans,Asteraceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,31.7,3.456316681,0.10625524,3.071666667,0.030716667,-3.451751571,0.827068983,0.827068983,1.564995335,0.033333333,9.666666667
Andrad_Site 1_Mimosa_tenuiflora_Survey 1,10/24/20,-7.3669432,7.3669432,-2.040041613,S,Mimosa_tenuiflora,Fabaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB;TREE,Woody,408.75,6.013103722,2.291334423,17.38257744,0.173825774,-1.558752177,0.576064613,0.576064613,0.306638774,0.15,6.025
Andrad_Site 1_Tacinga_palmadora_Survey 1,10/26/20,-7.3669432,7.3669432,-2.040041613,S,Tacinga_palmadora,Cactaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB,Woody,7.6425,2.033724775,-1.109519055,9.975,0.09975,-2.200005447,0.430242272,0.430242272,-0.280862757,0.25,NA
Andrad_Site 1_Ziziphus_joazeiro_Survey 1,10/24/20,-7.3669432,7.3669432,-2.040041613,S,Ziziphus_joazeiro,Rhamnaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB;TREE,Woody,465.9259259,6.144026664,2.403223677,20.11143436,0.201114344,-1.379344207,0.457282115,0.457282115,-0.171289117,0.175,3.55
Anjos_Site 1_Microstachys_serrulata_Survey 1,9/23/20,-18.983807,18.983807,-1.245747277,S,Microstachys_serrulata,Euphorbiaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HERB,Herb,65.1,4.175924549,0.721245909,1.005344828,0.010053448,-4.589735266,0.772793328,0.772793328,1.224151596,0.016666667,NA
Anjos_Site 1_Ouratea_spectabilis_Survey 1,10/7/20,-18.983868,18.983868,-1.245743106,S,Ouratea_spectabilis,Ochnaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",SHRUB;TREE,Woody,300.2666667,5.704670969,2.027741884,2.916150794,0.029161508,-3.505310505,0.464909855,0.464909855,-0.140591702,0.216666667,NA
Anjos_Site 1_Palicourea_rigida_Survey 1,10/1/20,-18.983868,18.983868,-1.245743106,S,Palicourea_rigida,Rubiaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",SHRUB,Woody,61.41666667,4.117681242,0.671470063,6.543666667,0.065436667,-2.658996643,0.59843347,0.59843347,0.398942136,0.166666667,NA
Anstet_Site 1_Plantago_lanceolata_Survey 1,10/26/20,49.260975,49.260975,0.824431341,N,Plantago_lanceolata,Plantaginaceae,Temperate Conifer Forests,HERB,Herb,3.916666667,1.365240952,-1.680818135,1.425,0.01425,-4.236645866,0.737337695,0.737337695,1.032176791,0.05,17.93333333
Anstet_Site 1_Rumex_obtusifolius_Survey 1,10/24/20,49.26297,49.26297,0.824567747,N,Rumex_obtusifolius,Polygonaceae,Temperate Conifer Forests,HERB,Herb,38.45,3.649358696,0.271232644,5.658333333,0.056583333,-2.81379356,0.728663788,0.728663788,0.987853741,0.066666667,19.03333333
Anstet_Site 1_Symphyotrichum_novae-angliae_Survey 1,10/10/20,43.529672,43.529672,0.432557803,N,Symphyotrichum_novae-angliae,Asteraceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,52.5,3.96081317,0.537407603,4.075,0.04075,-3.158695889,0.561124398,0.561124398,0.245726617,0.133333333,4.05
Bagchi_Site 1_Achyranthes_aspera_Survey 1,9/27/20,18.484139,18.484139,-1.279911701,N,Achyranthes_aspera,Amaranthaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;SHRUB,Herb,83.35,4.423048609,0.932442864,3.466666667,0.034666667,-3.326694854,0.557121904,0.557121904,0.229489518,0.166666667,61.5
Bagchi_Site 1_Hyptis_suaveolens_Survey 1,10/28/20,18.483861,18.483861,-1.279930709,N,Hyptis_suaveolens,Lamiaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;VINE,Climber,92.38333333,4.525946587,1.020381447,3.658333333,0.036583333,-3.270893231,0.585961932,0.585961932,0.347296904,0.166666667,61.33333333
Bagchi_Site 1_Lantana_camara_Survey 1,9/12/20,18.499722,18.499722,-1.278846225,N,Lantana_camara,Verbenaceae,Tropical & Subtropical Dry Broadleaf Forests,SHRUB,Woody,172.95,5.153002535,1.556275473,2.216666667,0.022166667,-3.786749581,0.399388301,0.399388301,-0.408014504,0.25,53.83333333
Bagchi_Site 2_Carpinus_caroliniana_Survey 1,9/16/19,41.79791,41.79791,0.314149877,N,Carpinus_caroliniana,Betulaceae,Temperate Broadleaf & Mixed Forests,TREE,Woody,43.90196078,3.781958984,0.38455539,18.16666667,0.181666667,-1.505096246,0.453428705,0.453428705,-0.186826711,0.016129032,40.19642857
Bagchi_Site 2_Paulownia_tomentosa_Survey 1,8/23/20,18.528611,18.528611,-1.276870962,N,Paulownia_tomentosa,Paulowniaceae,Tropical & Subtropical Dry Broadleaf Forests,TREE,Woody,122.21875,4.805812472,1.259560194,20.96046875,0.209604688,-1.3273099,0.42829573,0.42829573,-0.288807932,0.21875,3.6875
Barbos_Site 1_Ageratum_fastigiatum_Survey 1,10/29/20,-19.28036164,19.28036164,-1.225470576,S,Ageratum_fastigiatum,Asteraceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HERB;SHRUB,Herb,50,3.912023005,0.495710594,0.961666667,0.009616667,-4.634594369,0.416355785,0.416355785,-0.337751428,0.2,NA
Barbos_Site 1_Diplusodon_orbicularis_Survey 1,10/30/20,-19.28350096,19.28350096,-1.225255928,S,Diplusodon_orbicularis,Lythraceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",SHRUB,Woody,71.95,4.275971433,0.806747892,3.2075,0.032075,-3.407077694,0.392578306,0.392578306,-0.436487247,0.25,NA
Barbos_Site 1_Vellozia_variabilis_Survey 1,10/22/20,-19.27902326,19.27902326,-1.225562087,S,Vellozia_variabilis,Velloziaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HERB,Herb,60.36666667,4.100437076,0.656732868,3.079166667,0.030791667,-3.449235496,0.592715763,0.592715763,0.375203653,0.15,NA
Barret_Site 1_Aotus_genistoides_Survey 1,4/30/20,-34.379175,34.379175,-0.193100555,S,Aotus_genistoides,Fabaceae,"Mediterranean Forests, Woodlands & Scrub",SHRUB,Woody,11.56140351,2.447672267,-0.755751599,38.76047535,0.387604753,-0.457391758,0.519660289,0.519660289,0.078681721,0.224137931,3.75862069
Barret_Site 1_Persoonia_micranthera_Survey 1,5/13/20,-34.381683,34.381683,-0.192929073,S,Persoonia_micranthera,Proteaceae,"Mediterranean Forests, Woodlands & Scrub",SHRUB,Woody,38.12679769,3.640917386,0.264018539,2.933333333,0.029333333,-3.499258595,0.529083205,0.529083205,0.116464284,0.15,5
Barret_Site 2_Latrobea_pinnaculum_Survey 1,4/22/20,-34.382585,34.382585,-0.192867399,S,Latrobea_pinnaculum,Fabaceae,"Mediterranean Forests, Woodlands & Scrub",SHRUB,Woody,38.75736449,3.657320789,0.278037201,32.48099238,0.324809924,-0.731754084,0.36703032,0.36703032,-0.544978061,0.016393443,11.66666667
Basket_Site 1_Agrimonia_eupatoria_Survey 1,7/22/19,42.316176,42.316176,0.349585926,N,Agrimonia_eupatoria,Rosaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,56.86666667,4.040709346,0.605688406,1.3,0.013,-4.329720682,0.730986528,0.730986528,0.999633568,0.083333333,3.066666667
Basket_Site 2_Chenopodium_album_Survey 1,7/16/19,42.3181,42.3181,0.349717478,N,Chenopodium_album,Amaranthaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,30.28333333,3.410597506,0.067182757,11.28333333,0.112833333,-2.06212106,0.73512255,0.73512255,1.020769952,0.00990099,25.13793103
Basket_Site 2_Verbascum_lychnitis_Survey 1,7/18/19,42.31817,42.31817,0.349722264,N,Verbascum_lychnitis,Scrophulariaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,3.597205697,1.280157349,-1.753532212,11.43333333,0.114333333,-2.047222499,0.546671938,0.546671938,0.187232811,0.166666667,8.933333333
Bloodw_Site 1_Bouteloua_gracilis_Survey 1,7/7/20,46.3337,46.3337,0.624281111,N,Bouteloua_gracilis,Poaceae,"Temperate Grasslands, Savannas & Shrublands",GRAMINOID,Graminoid,10.085,2.311049171,-0.872512313,6.391666667,0.063916667,-2.684124352,0.784721455,0.784721455,1.293396072,0.066666667,14.16666667
Bloodw_Site 1_Pascopyrum_smithii_Survey 1,7/7/20,46.3337,46.3337,0.624281111,N,Pascopyrum_smithii,Poaceae,"Temperate Grasslands, Savannas & Shrublands",GRAMINOID,Graminoid,22.415,3.109730378,-0.189944055,11.075,0.11075,-2.083103002,0.551057887,0.551057887,0.204945908,0.166666667,2.966666667
Bloodw_Site 1_Sphaeralcea_coccinea_Survey 1,7/7/20,46.3337,46.3337,0.624281111,N,Sphaeralcea_coccinea,Malvaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,8.643333333,2.156788311,-1.004346599,3.608333333,0.036083333,-3.285173767,0.559556895,0.559556895,0.239363935,0.15,6.333333333
Bloodw_Site 1_Tragopogon_dubius_Survey 1,7/7/20,46.3337,46.3337,0.624281111,N,Tragopogon_dubius,Asteraceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,31.38833333,3.446436274,0.097811255,5.941666667,0.059416667,-2.76192548,0.715834264,0.715834264,0.923891022,0.1,8.966666667
Bronst_Site 1_Arctostaphylos_pungens_Survey 1,2/16/19,32.3352876,32.3352876,-0.332849821,N,Arctostaphylos_pungens,Ericaceae,Deserts & Xeric Shrublands,SHRUB,Woody,8.332856619,2.120206329,-1.035610262,7.46,0.0746,-2.518085569,0.472123434,0.472123434,-0.111622016,0.22,NA
Bronst_Site 1_Opuntia_engelmanii_Survey 1,12/12/19,32.220648,32.220648,-0.340688217,N,Opuntia_engelmanii,Cactaceae,Deserts & Xeric Shrublands,SHRUB,Woody,NA,NA,NA,16.63333333,0.166333333,-1.611839835,0.560884481,0.560884481,0.244752448,0.133333333,NA
Buckle_Site 1_Plantago_lanceolata_Survey 1,8/26/20,53.37722,53.37722,1.1058765,N,Plantago_lanceolata,Plantaginaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,23.58833333,3.16075224,-0.146339794,9.75,0.0975,-2.225316312,0.418803419,0.418803419,-0.327687407,0.01,6.74
Buckle_Site 2_Plantago_lanceolata_Survey 1,6/9/20,52.1386883,52.1386883,1.021192826,N,Plantago_lanceolata,Plantaginaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,43.61666667,3.77543934,0.378983577,5.933333333,0.059333333,-2.763417582,0.566273091,0.566273091,0.26666136,0.016129032,25.46875
Buckle_Site 3_Plantago_lanceolata_Survey 1,7/29/20,53.07222,53.07222,1.085022354,N,Plantago_lanceolata,Plantaginaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,20.72166667,3.031179852,-0.257074839,5.11801918,0.051180192,-2.919866327,0.569484063,0.569484063,0.279746456,0.016129032,10.53125
Burgha_Site 1_Cornus_florida_Survey 1,10/19/20,38.86774992,38.86774992,0.113802383,N,Cornus_florida,Cornaceae,"Temperate Grasslands, Savannas & Shrublands",SHRUB;TREE,Woody,204.5,5.320567975,1.699480108,6.710526316,0.067105263,-2.632029894,0.471224165,0.471224165,-0.115230673,0.184210526,81.18421053
Burgha_Site 1_Liquidambar_styraciflua_Survey 1,10/19/20,38.86774992,38.86774992,0.113802383,N,Liquidambar_styraciflua,Altingiaceae,"Temperate Grasslands, Savannas & Shrublands",TREE,Woody,95.76666667,4.561914677,1.051120466,0.866666667,0.008666667,-4.739566589,0.467079531,0.467079531,-0.131872656,0.2,47.66666667
Burgha_Site 1_Liriodendron_tulipifera_Survey 1,10/19/20,38.86774992,38.86774992,0.113802383,N,Liriodendron_tulipifera,Magnoliaceae,"Temperate Grasslands, Savannas & Shrublands",TREE,Woody,112.2166667,4.720431526,1.186592002,4.228333333,0.042283333,-3.120158982,0.619783142,0.619783142,0.488627876,0.116666667,50.66666667
Bustos_Site 1_Amaranthus_sp_Survey 1,11/16/19,15.927389,15.927389,-1.454727562,N,Amaranthus_sp,Amaranthaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB,Herb,48.52380952,3.882054595,0.470099017,20.07936508,0.200793651,-1.381341404,0.312813974,0.312813974,-0.786996353,0.285714286,30.9047619
Bustos_Site 2_Ipomoea_nil_Survey 1,11/15/19,15.888221,15.888221,-1.457405644,N,Ipomoea_nil,Convolvulaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;VINE,Climber,339.8809524,5.828595416,2.13365009,16.28571429,0.162857143,-1.637121341,0.574454429,0.574454429,0.300048728,0.142857143,35.30952381
Bustos_Site 2_Phaseolus_lunatus_Survey 1,11/15/19,15.888221,15.888221,-1.457405644,N,Phaseolus_lunatus,Fabaceae,Tropical & Subtropical Dry Broadleaf Forests,HERB;VINE,Climber,212.3333333,5.358157367,1.731604722,6.183333333,0.061833333,-2.719485023,0.469368176,0.469368176,-0.122680934,0.2,17.71666667
Calixt_Site 1_Asclepias_verticillata_Survey 1,6/10/21,43.390325,43.390325,0.423030057,N,Asclepias_verticillata,Apocynaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,24.2,3.186352633,-0.124461207,2.833333333,0.028333333,-3.534973842,0.859122632,0.859122632,1.808021893,0.033333333,21.38709677
Calixt_Site 1_Asclepias_verticillata_Survey 2,8/18/21,43.3904,43.3904,0.423035185,N,Asclepias_verticillata,Apocynaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,42.91666667,3.759260251,0.365156618,5.483333333,0.054833333,-2.847062997,0.790737211,0.790737211,1.329374862,0.05,5.3
Calixt_Site 1_Lespedeza_hirta_Survey 1,9/20/21,43.3904,43.3904,0.423035185,N,Lespedeza_hirta,Fabaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,77.45,4.349632567,0.869700108,9.633333333,0.096333333,-2.238646161,0.515512287,0.515512287,0.062069066,0.166666667,22.83333333
Carval_Site 1_Byrsonima_intermedia_Survey 1,10/12/20,-18.985314,18.985314,-1.245644237,S,Byrsonima_intermedia,Malpighiaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",SHRUB;TREE,Woody,147.75,4.995521656,1.421689297,0.738466667,0.007384667,-4.900937432,0.392479913,0.392479913,-0.436899879,0.2,NA
Carval_Site 2_Byrsonima_verbascifolia_Survey 1,10/25/16,-17.787379,17.787379,-1.327552143,S,Byrsonima_verbascifolia,Malpighiaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TREE,Woody,83.43333333,4.42404791,0.933296886,4.492183333,0.044921833,-3.056869245,0.360306531,0.360306531,-0.574033962,0.283333333,NA
Carval_Site 3_Cordiera_elliptica_Survey 1,10/26/20,-18.98565,18.98565,-1.245621263,S,Cordiera_elliptica,Rubiaceae,"Tropical & Subtropical Grasslands, Savannas & Shrublands",SHRUB,Woody,72.38333333,4.28197607,0.81187957,1.873303942,0.018733039,-3.958555775,0.392628629,0.392628629,-0.436276218,0.25,NA
Castag_Site 1_Ilex_aquifolium_Survey 1,7/23/20,44.756555,44.756555,0.516445007,N,Ilex_aquifolium,Aquifoliaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,92.8,4.53044664,1.024227279,47.9950282,0.479950282,-0.080241899,0.192789054,0.192789054,-1.431988423,0.366666667,NA
Castag_Site 2_Melampyrum_pratense_Survey 1,7/22/20,44.904989,44.904989,0.52659407,N,Melampyrum_pratense,Orobanchaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,33.95,3.524888854,0.164858332,1.583333333,0.015833333,-4.129677837,0.512756467,0.512756467,0.051036945,0.166666667,NA
Castag_Site 3_Quercus_robur_Survey 1,6/3/20,45.153623,45.153623,0.543594233,N,Quercus_robur,Fagaceae,Temperate Broadleaf & Mixed Forests,TREE,Woody,13.69767442,2.617226068,-0.610847672,5.147727273,0.051477273,-2.913765346,0.764053596,0.764053596,1.175033262,0.019230769,5.7
Chiuff_Site 1_Taraxacum_officinale_Survey 1,3/10/20,-41.094079,41.094079,0.266025962,S,Taraxacum_officinale,Asteraceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,2.505516727,0.918494991,-2.062615791,14.47321429,0.144732143,-1.77652996,0.526868936,0.526868936,0.107579379,0.014705882,3.868421053
Cinogl_Site 1_Lupinus_texensis_Survey 1,5/16/22,30.07611111,30.07611111,-0.487319316,N,Lupinus_texensis,Fabaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,18.62666667,2.924594246,-0.348164939,0.45,0.0045,-5.399167727,0.539861896,0.539861896,0.159786687,0.183333333,21.9047619
CintoM_Site 1_Buxus_sempervirens_Survey 1,12/19/19,42.681681,42.681681,0.374577056,N,Buxus_sempervirens,Buxaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,19.56266964,2.97362314,-0.306263907,1.761904762,0.017619048,-4.0209986,0.598648649,0.598648649,0.399837631,0.142857143,14.27272727
CintoM_Site 1_Buxus_sempervirens_Survey 2,1/8/20,42.681681,42.681681,0.374577056,N,Buxus_sempervirens,Buxaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,23.4968993,3.156868468,-0.14965894,0.736842105,0.007368421,-4.903156134,0.474903475,0.474903475,-0.10047053,0.210526316,22.31578947
CintoM_Site 1_Thymus_vulgaris_Survey 1,12/19/19,42.678061,42.678061,0.374329541,N,Thymus_vulgaris,Lamiaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,14,2.63905733,-0.592190258,0.732758621,0.007327586,-4.908754556,0.782868937,0.782868937,1.282464148,0.068965517,4.651724138
CintoM_Site 2_Diplotaxis_erucoides_Survey 1,12/24/19,42.666125,42.666125,0.373513426,N,Diplotaxis_erucoides,Brassicaceae,Temperate Broadleaf & Mixed Forests,HERB,Herb,21.3,3.058707073,-0.233549548,1.391666667,0.013916667,-4.260653705,0.558510098,0.558510098,0.235117553,0.133333333,25.36666667
CintoM_Site 2_Viscum_album_Survey 1,12/24/19,42.667881,42.667881,0.373633491,N,Viscum_album,Santalaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,13.7029271,2.617609467,-0.610520012,1.754901961,0.01754902,-4.025052364,0.650726257,0.650726257,0.622233079,0.018181818,NA
CintoM_Site 3_Opuntia_cespitosa_Survey 1,11/3/19,42.69818,42.69818,0.375705162,N,Opuntia_cespitosa,Cactaceae,Temperate Broadleaf & Mixed Forests,SHRUB,Woody,74.89588879,4.316099,0.841041679,0.133333333,0.001333333,-6.618738984,0.985169492,0.985169492,4.196127257,0.016129032,16.2
Cock_Site 1_Plantago_major_Survey 1,1/22/20,-36.6606,36.6606,-0.037109835,S,Plantago_major,Plantaginaceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,14.76405837,2.692195739,-0.546777155,5.898305085,0.058983051,-2.769711022,0.750297265,0.750297265,1.100198332,0.0125,6.77
Cock_Site 2_Taraxacum_officinale_Survey 1,1/16/20,-36.7146778,36.7146778,-0.033412306,S,Taraxacum_officinale,Asteraceae,"Temperate Grasslands, Savannas & Shrublands",HERB,Herb,13.61676104,2.611301463,-0.615910953,2.283333333,0.022833333,-3.756435771,0.796486453,0.796486453,1.364477549,0.013888889,5.219512195
Cogni_Site 1_Crotalaria_pallida_Survey 1,10/13/20,-22.753467,22.753467,-0.987999606,S,Crotalaria_pallida,Fabaceae,Tropical & Subtropical Moist Broadleaf Forests,HERB,Herb,70,4.248495242,0.783266213,3.45,0.0345,-3.331686778,0.776385818,0.776385818,1.244727422,0.016393443,7.666666667
Cogni_Site 2_Crotalaria_vitellina_Survey 1,10/27/20,-23.3616,23.3616,-0.946418969,S,Crotalaria_vitellina,Fabaceae,Tropical & Subtropical Moist Broadleaf Forests,SHRUB,Woody,74.45762712,4.3102302,0.836026091,8.423728814,0.084237288,-2.386119608,0.632796781,0.632796781,0.544233903,0.016666667,15.33333333
